Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Thread Group 1:GET Home Page,10,1130,535,1616,331.14,100.000%,4.52080,1.45,0.53,329.0
TOTAL,10,1130,535,1616,331.14,100.000%,4.52080,1.45,0.53,329.0
